SUD Life Century Income,,,,,
Annexure - 2- Guaranteed Surrender Value Factors,,,,,
,,,,,
PPT,7,7,10,10,12
Policy Year/PT,15,20,20,25,25
1,,,,,
2,0.3500,0.3500,0.3500,0.3500,0.3500
3,0.3500,0.3500,0.3500,0.3500,0.3500
4,0.5000,0.5000,0.5000,0.5000,0.5000
5,0.5000,0.5000,0.5000,0.5000,0.5000
6,0.5000,0.5000,0.5000,0.5000,0.5000
7,0.5000,0.5000,0.5000,0.5000,0.5000
8,0.5571,0.5333,0.5333,0.5235,0.5235
9,0.6143,0.5667,0.5667,0.5471,0.5471
10,0.6714,0.6000,0.6000,0.5706,0.5706
11,0.7286,0.6333,0.6333,0.5941,0.5941
12,0.7857,0.6667,0.6667,0.6176,0.6176
13,0.8429,0.7000,0.7000,0.6412,0.6412
14,0.9000,0.7333,0.7333,0.6647,0.6647
15,0.9000,0.7667,0.7667,0.6882,0.6882
16,,0.8000,0.8000,0.7118,0.7118
17,,0.8333,0.8333,0.7353,0.7353
18,,0.8667,0.8667,0.7588,0.7588
19,,0.9000,0.9000,0.7824,0.7824
20,,0.9000,0.9000,0.8059,0.8059
21,,,,0.8294,0.8294
22,,,,0.8529,0.8529
23,,,,0.8765,0.8765
24,,,,0.9000,0.9000
25,,,,0.9000,0.9000
