policy_year,ppt,pt,gsv_factor
2,7,15,0.35
2,7,20,0.35
2,10,20,0.35
2,10,25,0.35
2,12,25,0.35
3,7,15,0.35
3,7,20,0.35
3,10,20,0.35
3,10,25,0.35
3,12,25,0.35
4,7,15,0.5
4,7,20,0.5
4,10,20,0.5
4,10,25,0.5
4,12,25,0.5
5,7,15,0.5
5,7,20,0.5
5,10,20,0.5
5,10,25,0.5
5,12,25,0.5
6,7,15,0.5
6,7,20,0.5
6,10,20,0.5
6,10,25,0.5
6,12,25,0.5
7,7,15,0.5
7,7,20,0.5
7,10,20,0.5
7,10,25,0.5
7,12,25,0.5
8,7,15,0.5571
8,7,20,0.5333
8,10,20,0.5333
8,10,25,0.5235
8,12,25,0.5235
9,7,15,0.6143
9,7,20,0.5667
9,10,20,0.5667
9,10,25,0.5471
9,12,25,0.5471
10,7,15,0.6714
10,7,20,0.6
10,10,20,0.6
10,10,25,0.5706
10,12,25,0.5706
11,7,15,0.7286
11,7,20,0.6333
11,10,20,0.6333
11,10,25,0.5941
11,12,25,0.5941
12,7,15,0.7857
12,7,20,0.6667
12,10,20,0.6667
12,10,25,0.6176
12,12,25,0.6176
13,7,15,0.8429
13,7,20,0.7
13,10,20,0.7
13,10,25,0.6412
13,12,25,0.6412
14,7,15,0.9
14,7,20,0.7333
14,10,20,0.7333
14,10,25,0.6647
14,12,25,0.6647
15,7,15,0.9
15,7,20,0.7667
15,10,20,0.7667
15,10,25,0.6882
15,12,25,0.6882
16,7,20,0.8
16,10,20,0.8
16,10,25,0.7118
16,12,25,0.7118
17,7,20,0.8333
17,10,20,0.8333
17,10,25,0.7353
17,12,25,0.7353
18,7,20,0.8667
18,10,20,0.8667
18,10,25,0.7588
18,12,25,0.7588
19,7,20,0.9
19,10,20,0.9
19,10,25,0.7824
19,12,25,0.7824
20,7,20,0.9
20,10,20,0.9
20,10,25,0.8059
20,12,25,0.8059
21,10,25,0.8294
21,12,25,0.8294
22,10,25,0.8529
22,12,25,0.8529
23,10,25,0.8765
23,12,25,0.8765
24,10,25,0.9
24,12,25,0.9
25,10,25,0.9
25,12,25,0.9
